	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
_Istate_25		-42.48	-2,464.74	-42.46	-2,619.27	-16.82	-1,592.40	-16.56	-1,580.25	0.36	429.41	0.17	315.96	-4.59	-832.75	-4.57	-950.97
		(0.68)	(577.88)	(0.66)	(550.56)	(0.37)	(301.10)	(0.32)	(265.59)	(0.09)	(90.12)	(0.13)	(107.53)	(0.23)	(219.14)	(0.27)	(171.76)
_Istate_26		-16.58	608.13	-16.42	453.72	-11.17	-779.51	-10.92	-716.14	4.03	148.57	3.95	-50.78	-1.84	287.95	-1.80	60.26
		(0.43)	(1,166.23)	(0.41)	(1,098.56)	(0.23)	(607.66)	(0.20)	(529.43)	(0.05)	(181.87)	(0.09)	(212.72)	(0.15)	(442.24)	(0.18)	(343.60)
_Istate_27		-21.74	-806.05	-21.62	-862.42	-3.21	352.97	-2.90	368.45	5.19	-54.25	5.01	-99.74	-6.36	-1,730.46	-6.25	-1,789.50
		(0.88)	(250.99)	(0.86)	(251.87)	(0.48)	(130.78)	(0.42)	(120.84)	(0.11)	(39.14)	(0.17)	(49.03)	(0.30)	(95.18)	(0.34)	(79.18)
_Istate_28		-0.35	-1,498.53	-1.14	-1,812.73	-1.21	-425.49	-1.19	-598.67	-0.26	77.51	-0.84	-74.64	-2.48	-901.26	-2.63	-1,024.76
		(2.73)	(701.75)	(2.66)	(633.09)	(1.49)	(365.64)	(1.31)	(305.61)	(0.35)	(109.44)	(0.51)	(121.37)	(0.94)	(266.11)	(1.03)	(196.86)
_Istate_29		-1.32	-2,096.07	-0.21	-2,348.80	2.99	113.28	3.02	73.12	2.28	-92.44	2.65	-225.77	-3.64	-1,241.82	-3.19	-1,397.59
		(1.86)	(696.65)	(1.94)	(638.33)	(1.01)	(362.99)	(0.96)	(307.58)	(0.24)	(108.64)	(0.37)	(123.83)	(0.64)	(264.17)	(0.74)	(199.21)
_Istate_30		62.02	-3,948.07	62.43	-3,988.15	51.21	-2,215.23	51.58	-2,348.32	10.02	-288.93	9.92	-313.04	-6.00	-2,059.73	-5.73	-1,989.99
