	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
		1	2	3	6	1	2	3	6
		no t	no t	no t	no t	t	t	t	t
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
									
o._Iyear_1989		-	-	-	-	-	-	-	-
									
o._Iyear_1990		-	-	-	-	-	-	-	-
									
o._Iyear_1991		-	-	-	-	-	-	-	-
									
o._Iyear_1992		-	-	-	-	-	-	-	-
									
o._Iyear_1993		-	-	-	-	-	-	-	-
									
o._Iyear_1994		-	-	-	-	-	-	-	-
									
o._Iyear_1995		-	-	-	-	-	-	-	-
									
o._Iyear_1996		-	-	-	-	-	-	-	-
									
_Iyear_1983		-45.05	-20.56	3.88	-14.75				
		(4.24)	(3.19)	(1.02)	(1.50)				
Constant	32.42	152.28	59.66	7.90	40.70	9,528.65	741.00	1,027.47	4,500.07
	(0.36)	(9.76)	(6.03)	(1.84)	(3.64)	(4,273.42)	(2,648.48)	(1,136.07)	(1,542.15)
									
Observations	24,786	700	700	700	700	700	700	700	700
R-squared	0.016	0.825	0.797	0.619	0.637	0.850	0.836	0.648	0.692
Standard errors in parentheses									
