year,quarter,spread
1980,2,0.7169841269841264
1980,3,1.490885416666666
1980,4,-0.9808743169398912
1981,1,-1.2001639344262287
1981,2,-0.7276190476190472
1981,3,0.3646354166666672
1981,4,2.405901639344263
1982,1,1.5492896174863393
1982,2,1.6520634920634922
1982,3,3.786145833333334
1982,4,2.5544808743169396
1983,1,2.01
1983,2,1.8409523809523822
1983,3,2.2914062499999996
1983,4,2.6128333333333345
1984,1,2.482258064516129
1984,2,3.223015873015873
1984,3,2.5153968253968255
1984,4,2.703387978142077
1985,1,3.0145000000000017
1985,2,2.865555555555554
1985,3,2.6647619047619058
1985,4,2.0701075268817197
1986,1,1.2688333333333341
1986,2,1.259843749999999
1986,3,1.4068229166666661
1986,4,1.3986021505376351
1987,1,1.2043169398907105
1987,2,2.2895238095238097
1987,3,2.374791666666666
1987,4,2.7690860215053767
1988,1,2.1768279569892472
1988,2,2.215714285714287
1988,3,1.7585937499999984
1988,4,1.0754644808743166
1989,1,0.7783606557377052
1989,2,0.40781250000000036
1989,3,0.1896825396825399
1989,4,0.18940860215053767
1990,1,0.6237096774193533
1990,2,0.897619047619048
1990,3,0.9479365079365074
1990,4,1.0453225806451618
1991,1,1.6286666666666667
1991,2,2.21484375
1991,3,2.125208333333334
1991,4,2.0216129032258063
1992,1,2.701505376344086
1992,2,2.96984126984127
1992,3,2.524635416666667
1992,4,2.8332258064516127
1993,1,2.50672131147541
1993,2,2.2161904761904756
1993,3,1.9480729166666664
1993,4,1.9179032258064512
1994,1,2.2550537634408596
1994,2,2.6849462365591394
1994,3,2.4784895833333334
1994,4,2.354590163934426
1995,1,1.6368817204301074
1995,2,0.7825396825396824
1995,3,0.7255555555555553
1995,4,0.43306451612903096
1996,1,0.6424193548387098
1996,2,1.4650000000000007
1996,3,1.4422395833333335
1996,4,1.1341397849462371
1997,1,1.2986666666666666
1997,2,1.5236458333333331
1997,3,1.0822395833333331
1997,4,0.7470967741935484
1998,1,0.45715846994535436
1998,2,0.6096825396825398
1998,3,0.30197916666666647
1998,4,0.13344086021505408
1999,1,0.4953005464480862
1999,2,0.9886979166666672
1999,3,1.1250000000000009
1999,4,1.0236021505376334
2000,1,1.0631746031746028
2000,2,0.7111111111111104
2000,3,0.04158730158730162
2000,4,-0.461021505376344
2001,1,-0.0261827956989249
2001,2,1.1753968253968248
2001,3,1.3408196721311478
2001,4,2.1781720430107523
2002,1,2.7395000000000005
2002,2,2.737135416666667
2002,3,1.7160416666666667
2002,4,1.6752150537634412
2003,1,1.7551366120218581
2003,2,1.5299999999999998
2003,3,2.208125
2003,4,2.328010752688172
2004,1,2.0643010752688173
2004,2,2.644301075268817
2004,3,2.018958333333334
2004,4,1.4870430107526884
2005,1,1.354153005464481
2005,2,1.0096354166666668
2005,3,0.6793749999999998
2005,4,0.5644808743169398
2006,1,0.15908602150537643
2006,2,0.28984126984127023
2006,3,-0.06444444444444386
2006,4,-0.3015591397849464
2007,1,-0.3399462365591397
2007,2,0.024114583333332718
2007,3,0.20936507936507898
2007,4,0.40758064516129
2008,1,0.7081420765027322
2008,2,1.528333333333333
2008,3,1.6194791666666668
2008,4,1.8760752688172044
2009,1,1.5479781420765026
2009,2,2.0684126984126983
2009,3,2.310833333333333
2009,4,2.24752688172043
2010,1,2.3207103825136612
2010,2,2.1081770833333335
2010,3,1.3883333333333332
2010,4,1.3667204301075266
2011,1,1.992688172043011
2011,2,1.8077777777777777
2011,3,1.1207291666666666
2011,4,0.9392896174863388
2012,1,0.8317204301075269
2012,2,0.7022395833333334
2012,3,0.5655555555555556
2012,4,0.6034972677595629
2013,1,0.736
2013,2,0.859375
2013,3,1.4704166666666665
2013,4,1.3756989247311828
2014,1,1.556775956284153
2014,2,1.624285714285714
2014,3,1.6748958333333335
2014,4,1.5776344086021505
2015,1,1.4305464480874317
2015,2,1.50515625
2015,3,1.51578125
2015,4,1.4608602150537635
2016,1,1.0831693989071038
2016,2,0.9838020833333334
2016,3,0.8319270833333334
2016,4,1.1847540983606557
2017,1,1.3579032258064516
2017,2,0.9211111111111111
2017,3,0.7768253968253966
2017,4,0.8625268817204297
2018,1,0.9749180327868852
2018,2,0.9256250000000001
2018,3,0.7690476190476194
2018,4,0.5669398907103824
2019,1,0.07825136612021888
2019,2,-0.17888888888888932
2019,3,-0.3514062499999997
2019,4,0.03672043010752679
2020,1,0.03483870967741942
2020,2,0.21412698412698414
2020,3,0.15838541666666667
2020,4,0.27618279569892473
2021,1,0.5680327868852459
2021,2,0.8139583333333333
2021,3,0.7530208333333334
2021,4,1.1276344086021506
2022,1,1.527204301075269
2022,2,1.8733333333333335
2022,3,0.5636979166666665
2022,4,-0.044590163934426386
2023,1,-0.8250537634408608
2023,2,-1.3798412698412696
2023,3,-0.9785714285714286
2023,4,-0.8555913978494623
